seed,standardized,kmeans,fixed_h1,fixed_h1_iter,fixed_h1_status,meanV,meanV_h,adaptive_response,adaptive_h_final,adaptive_iter,adaptive_status,adaptive_cycle_period,adaptive_h_unique,frozen_response,frozen_h,frozen_iter,frozen_status,frozen_cycle_period,clusterwise_response,clusterwise_h,clusterwise_iter,clusterwise_status,clusterwise_cycle_period,oracle_grid,oracle_h,plateau_h_low,plateau_h_high,plateau_factor,adaptive_in_plateau,frozen_in_plateau,frozen_plateau_log_position
1740,0,0.826035195024,0.979204731346,2,converged,0.96682090527,1.87584790083,0.987500097458,0.792275943826,2,converged,0,2,0.987500097458,0.728382686731,2,converged,0,0.829963740142,0.642072887444;0.0537448807553;0.977616690317,15,cycle,8,0.987500097458,0.565990378822,0.520345967845,0.977616690317,1.87878210024,1,1,0.533333333333
1741,0,0.818010971964,0.983400634949,2,converged,0.966916744191,1.87671041216,0.991678337862,0.792275943826,2,converged,0,2,0.991678337862,0.728382686731,2,converged,0,0.975246236775,0.977616690317;1.31213222197;0.669642114549,3,converged,0,0.991678337862,0.698395104896,0.590292786848,0.977616690317,1.65615557584,1,1,0.416666666667
1742,0,0.851813270928,0.962827245722,3,converged,0.942648118717,1.87467211566,0.97922250426,0.792275943826,2,converged,0,2,0.97922250426,0.728382686731,2,converged,0,0.995830427767,0.669642114549;1.31213222197;0.977616690317,7,converged,0,0.995830427767,0.61563868794,0.542688503157,0.669642114549,1.23393458799,0,0,1.4
1743,0,0.84152640514,0.975044956046,2,converged,0.954579484386,1.87896059356,0.979204731346,0.792275943826,3,converged,0,2,0.991669560278,0.728382686731,2,converged,0,0.81079090518,0.0752323320669;0.937368121758;0.642072887444,6,converged,0,0.991669560278,0.642072887444,0.590292786848,0.759657870752,1.28691708196,0,1,0.833333333333
1744,0,0.819624670063,0.962853247928,3,converged,0.954679424397,1.87507668774,0.97922250426,0.792275943826,3,converged,0,2,0.975113573428,0.698395104896,3,converged,0,0.934281218267,0.642072887444;0.197855605537;0.937368121758,9,cycle,2,0.987526175066,0.478382559817,0.458687506073,0.669642114549,1.45990920983,0,0,1.11111111111
1745,0,0.851900375026,0.971093064331,2,converged,0.958910659577,1.87440231231,0.983400150629,0.792275943826,3,converged,0,2,0.987526102276,0.728382686731,2,converged,0,0.983426893328,1.31213222197;0.977616690317;0.669642114549,5,converged,0,0.995830427767,0.565990378822,0.542688503157,0.642072887444,1.18313338814,0,0,1.75
1746,0,0.859925196935,0.979213981759,3,converged,0.954842942956,1.87912862177,0.987491502279,0.792275943826,2,converged,0,2,0.987491502279,0.728382686731,2,converged,0,0.934208136934,0.224452083812;0.669642114549;0.937368121758,29,cycle,20,0.987491502279,0.728382686731,0.669642114549,0.937368121758,1.39980461413,1,1,0.25
1747,0,0.875006684767,0.975079191327,2,converged,0.942400443517,1.87341379072,0.979204731346,0.792275943826,3,converged,0,2,0.983347922471,0.759657870752,3,converged,0,0.803622858743,0.937368121758;0.669642114549;0.0853453388728,8,converged,0,0.991678240741,0.669642114549,0.642072887444,0.728382686731,1.13442367833,0,0,1.33333333333
1748,0,0.802322433557,0.958715809741,3,converged,0.950662308903,1.87876020557,0.975174288267,0.792275943826,2,converged,0,2,0.975174288267,0.728382686731,2,converged,0,0.815183433541,0.0609694653179;0.977616690317;0.642072887444,20,cycle,5,0.979274368077,0.669642114549,0.542688503157,0.792275943826,1.45990920983,1,1,0.777777777778
1749,0,0.828340216351,0.983400634949,3,converged,0.97517602656,1.87676007759,0.987526102276,0.792275943826,2,converged,0,2,0.987526102276,0.728382686731,2,converged,0,0.804003308353,0.0145990920983;0.669642114549;0.977616690317,16,cycle,4,0.987526320644,0.792275943826,0.669642114549,0.977616690317,1.45990920983,1,1,0.222222222222
