seed,standardized,kmeans,fixed_h1,fixed_h1_iter,fixed_h1_status,meanV,meanV_h,adaptive_response,adaptive_h_final,adaptive_iter,adaptive_status,adaptive_cycle_period,adaptive_h_unique,frozen_response,frozen_h,frozen_iter,frozen_status,frozen_cycle_period,clusterwise_response,clusterwise_h,clusterwise_iter,clusterwise_status,clusterwise_cycle_period,oracle_grid,oracle_h,plateau_h_low,plateau_h_high,plateau_factor,adaptive_in_plateau,frozen_in_plateau,frozen_plateau_log_position
1738,1,0.8750891567985525,0.9549203446137412,2,converged,0.9549161362808496,0.7454364930087962,0.9875261750660476,0.3276796643221589,3,converged,0,2,0.9875261750660476,0.3141890625706187,3,converged,0,0.9222125144107494,0.0663176672912;0.404335271587;0.276959189562,14,cycle,2,0.9875261750660476,0.3012538701271144,0.25462375852761865,0.3276796643221589,1.286917081960425,1,1,0.8333333333333349
1739,1,0.8553211477812497,0.93425767445267,3,converged,0.950414283519219,0.7458075238225806,0.9708936300192816,0.3276796643221589,3,converged,0,2,0.9750449560460911,0.3012538701271144,2,converged,0,0.9425617536256048,0.404335271587;0.0139980461413;0.276959189562,4,converged,0,0.9750449560460911,0.3012538701271144,0.2888512207396335,0.3564235120530609,1.2339345879875514,1,1,0.20000000000000062
1740,1,0.8591658006064078,0.9668209052696648,3,converged,0.9668209052696648,0.7462979745245355,0.9875000974583775,0.3276796643221589,2,converged,0,2,0.9833653318570948,0.3012538701271144,3,converged,0,0.8510768415859409,0.276959189562;0.025216534826;0.404335271587,8,cycle,2,0.9875000974583775,0.3141890625706187,0.27695918956185034,0.43980329949426955,1.5879714993029794,1,1,0.1818181818181816
1741,1,0.8627880397832182,0.9670049376100719,4,converged,0.9710771746769115,0.7464121750103687,0.9833481168125162,0.3276796643221589,3,converged,0,2,0.9751140090826159,0.3012538701271144,3,converged,0,0.9630387181813574,0.404335271587;0.439803299494;0.276959189562,3,converged,0,0.9875438025130311,0.42169655742724466,0.4043352715872623,0.47838255981657885,1.1831333881376112,0,0,-1.7500000000000033
1742,1,0.8549148063497873,0.9385065421377591,3,converged,0.9426481187169538,0.7453682491288092,0.9833482139814316,0.3276796643221589,3,converged,0,2,0.9916521995033772,0.3012538701271144,4,converged,0,0.9833481168125162,0.276959189562;0.404335271587;0.439803299494,6,converged,0,0.9916521995033772,0.3012538701271144,0.27695918956185034,0.3012538701271144,1.0877193517344497,0,1,1.0
1743,1,0.8398660615387755,0.9425058755757315,3,converged,0.9465233926501698,0.7465757826388162,0.9833914943945573,0.3276796643221589,3,converged,0,2,0.9792744890171399,0.3012538701271144,2,converged,0,0.9668612341077761,0.276959189562;0.404335271587;0.01,6,converged,0,0.9833914943945573,0.3141890625706187,0.27695918956185034,0.3564235120530609,1.2869170819604259,1,1,0.33333333333333304
1744,1,0.8520636000807807,0.9424047440557816,3,converged,0.9546443446408022,0.7449367921239628,0.9709872585451058,0.3276796643221589,3,converged,0,2,0.9751046509268522,0.3012538701271144,3,converged,0,0.9668201308712624,0.276959189562;0.439803299494;0.404335271587,8,converged,0,0.9752023557744461,0.19785560553733372,0.19785560553733372,0.3276796643221589,1.6561555758415367,1,1,0.8333333333333338
1745,1,0.866979374236304,0.962930390294603,2,converged,0.962930390294603,0.7451790608154352,0.9875000974583775,0.3276796643221589,2,converged,0,2,0.9875000974583775,0.3012538701271144,2,converged,0,0.9668359908946703,0.276959189562;0.404335271587;0.01,9,converged,0,0.9875263206441901,0.24414087509973725,0.24414087509973725,0.3564235120530609,1.4599092098258988,1,1,0.5555555555555555
1746,1,0.8906268101146189,0.9426310502779461,3,converged,0.9508249890840712,0.7470150659996219,0.9709368959350543,0.3276796643221589,2,converged,0,2,0.9709368959350543,0.3012538701271144,2,converged,0,0.9585634856534458,0.439803299494;0.404335271587;0.276959189562,4,converged,0,0.9833222463396819,0.3564235120530609,0.3564235120530609,0.45868750607341185,1.286917081960426,0,0,-0.6666666666666661
1747,1,0.8704941265998941,0.9343479939532705,2,converged,0.9546303783967341,0.745784189168104,0.9751135734275922,0.3276796643221589,3,converged,0,2,0.9751662357162306,0.3012538701271144,3,converged,0,0.8945182906739363,0.276959189562;0.404335271587;0.0213133490093,10,converged,0,0.9792047313461062,0.3876887514732712,0.3876887514732712,0.3876887514732712,1.0,0,0,nan
1748,1,0.8406028945484751,0.9143347913147711,4,converged,0.9105235814210046,0.745796843951295,0.9710930643312513,0.3276796643221589,3,converged,0,2,0.9629828292604673,0.3012538701271144,3,converged,0,0.9507327957675217,0.404335271587;0.276959189562;0.458687506073,3,converged,0,0.9710930643312513,0.3141890625706187,0.3141890625706187,0.3417495234613678,1.0877193517344497,1,0,-0.5000000000000027
1749,1,0.8556570948716717,0.9505261342791856,2,converged,0.9710758245347613,0.7461915544425646,0.9710930643312513,0.3276796643221589,3,converged,0,2,0.9669253515279974,0.3012538701271144,3,converged,0,0.9668224539580307,0.276959189562;0.439803299494;0.404335271587,2,converged,0,0.9834006349494748,0.3876887514732712,0.3417495234613678,0.5659903788217326,1.6561555758415376,0,0,-0.25000000000000006
1750,1,0.8250448099733391,0.9263852478406446,3,converged,0.9386663890079785,0.7444065218333031,0.9709967248454177,0.3276796643221589,2,converged,0,2,0.9709970633247595,0.3012538701271144,3,converged,0,0.9550196162425167,0.404335271587;0.439803299494;0.276959189562,5,converged,0,0.9751492618686307,0.2655567543953674,0.25462375852761865,0.4043352715872623,1.587971499302979,1,1,0.3636363636363632
1751,1,0.8519972886576792,0.9263968677316688,2,converged,0.9383039526924961,0.7440907626922052,0.9709980787153847,0.3276796643221589,3,converged,0,2,0.9709980787153847,0.3141890625706187,3,converged,0,0.9424460818361049,0.387688751473;0.276959189562;0.0818316634652,17,cycle,7,0.9751672500521065,0.27695918956185034,0.23408957294140437,0.3417495234613678,1.459909209825899,1,1,0.7777777777777781
1752,1,0.8638715461188816,0.9751492618686307,4,converged,0.9792485570322557,0.746404804528345,0.9875261750660476,0.3276796643221589,2,converged,0,2,0.9833914943945573,0.3012538701271144,3,converged,0,0.9750707050906697,0.439803299494;0.276959189562;0.404335271587,4,converged,0,0.9875263206441901,0.25462375852761865,0.19785560553733372,0.42169655742724466,2.1313349009344797,1,1,0.5555555555555556
